EVTYPE_CODE;EVTYPE;EVENT
613                       wet year;                      wet year;nd
614                 tidal flooding;                tidal flooding;coastal flood
615                  beach erosion;                 beach erosion;nd
616                    hot and dry;                   hot and dry;nd
617           heavy rain/high surf;          heavy rain/high surf;heavy rain
618                    rain damage;                   rain damage;heavy rain
619              unseasonable cold;             unseasonable cold;"""Cold/Wind Chill"","
62                     record high;                   record high;nd
620                street flooding;               street flooding;flood
621                        ice fog;                       ice fog;fog
622                 excessive cold;                excessive cold;"""Cold/Wind Chill"","
623            torrential rainfall;           torrential rainfall;heavy rain
624                      landslump;                     landslump;nd
625           late-season snowfall;          late-season snowfall;heavy snow
626              hurricane edouard;             hurricane edouard;"""Hurricane (Typhoon)"","
627                heavy rain/wind;               heavy rain/wind;high wind
628             record warm temps.;            record warm temps.;nd
629                  extended cold;                 extended cold;"""Cold/Wind Chill"","
63          high winds heavy rains;        high winds heavy rains;high wind
630                   freezing fog;                  freezing fog;freezing fog
631                  drifting snow;                 drifting snow;heavy snow
632                      whirlwind;                     whirlwind;high wind
633              heavy snow shower;             heavy snow shower;heavy snow
634                      late snow;                     late snow;heavy snow
635                record may snow;               record may snow;heavy snow
636             record winter snow;            record winter snow;heavy snow
637                  coastal flood;                 coastal flood;coastal flood
638             record temperature;            record temperature;nd
639           late season snowfall;          late season snowfall;heavy snow
64             high wind/ blizzard;           high wind/ blizzard;blizzard
640                     gusty wind;                    gusty wind;high wind
641                   mixed precip;                  mixed precip;ndnd
642                      black ice;                     black ice;ice storm
643                  gradient wind;                 gradient wind;high wind
644                 freezing spray;                freezing spray;frost/freeze
645                 summary jan 17;                summary jan 17;nd
646            summary of march 14;           summary of march 14;nd
647            summary of march 23;           summary of march 23;nd
648            summary of march 24;           summary of march 24;nd
649           summary of april 3rd;          summary of april 3rd;nd
65                       ice storm;                     ice storm;ice storm
650            summary of april 12;           summary of april 12;nd
651            summary of april 13;           summary of april 13;nd
652            summary of april 21;           summary of april 21;nd
653              summary august 11;             summary august 11;nd
654            summary of april 27;           summary of april 27;nd
655            summary of may 9-10;           summary of may 9-10;nd
656              summary of may 10;             summary of may 10;nd
657              summary of may 13;             summary of may 13;nd
658              summary of may 14;             summary of may 14;nd
659           summary of may 22 am;          summary of may 22 am;nd
66              blizzard/high wind;            blizzard/high wind;blizzard
660           summary of may 22 pm;          summary of may 22 pm;nd
661                      heatburst;                     heatburst;heat
662           summary of may 26 am;          summary of may 26 am;nd
663           summary of may 26 pm;          summary of may 26 pm;nd
664            metro storm, may 26;           metro storm, may 26;ice storm
665           summary of may 31 am;          summary of may 31 am;nd
666           summary of may 31 pm;          summary of may 31 pm;nd
667              summary of june 3;             summary of june 3;nd
668              summary of june 4;             summary of june 4;nd
669               summary june 5-6;              summary june 5-6;nd
67        high wind/low wind chill;      high wind/low wind chill;high wind
670                 summary june 6;                summary june 6;nd
671             summary of june 11;            summary of june 11;nd
672             summary of june 12;            summary of june 12;nd
673             summary of june 13;            summary of june 13;nd
674             summary of june 15;            summary of june 15;nd
675             summary of june 16;            summary of june 16;nd
676             summary june 18-19;            summary june 18-19;nd
677             summary of june 23;            summary of june 23;nd
678             summary of june 24;            summary of june 24;nd
679             summary of june 30;            summary of june 30;nd
68                 heavy snow/high;               heavy snow/high;heavy snow
680              summary of july 2;             summary of july 2;nd
681              summary of july 3;             summary of july 3;nd
682             summary of july 11;            summary of july 11;nd
683             summary of july 22;            summary of july 22;nd
684             summary july 23-24;            summary july 23-24;nd
685             summary of july 26;            summary of july 26;nd
686             summary of july 29;            summary of july 29;nd
687            summary of august 1;           summary of august 1;nd
688             summary august 2-3;            summary august 2-3;nd
689               summary august 7;              summary august 7;nd
69                      record low;                    record low;nd
690               summary august 9;              summary august 9;nd
691              summary august 10;             summary august 10;nd
692              summary august 17;             summary august 17;nd
693              summary august 21;             summary august 21;nd
694              summary august 28;             summary august 28;nd
695            summary september 4;           summary september 4;nd
696           summary september 20;          summary september 20;nd
697           summary september 23;          summary september 23;nd
698            summary sept. 25-26;           summary sept. 25-26;nd
699            summary: oct. 20-21;           summary: oct. 20-21;nd
7                         snow/ice;            snow/ice;heavy snow
70       high winds and wind chill;     high winds and wind chill;high wind
700            summary: october 31;           summary: october 31;nd
701              summary: nov. 6-7;             summary: nov. 6-7;nd
702               summary: nov. 16;              summary: nov. 16;nd
703                  wet micoburst;                 wet micoburst;nd
704                     hail(0.75);                    hail(0.75);hail
705              no severe weather;             no severe weather;nd
706              summary of may 22;             summary of may 22;nd
707              summary of june 6;             summary of june 6;nd
708               summary august 4;              summary august 4;nd
709             summary of june 10;            summary of june 10;nd
71  heavy snow/high winds/freezing;heavy snow/high winds/freezing;frost/freeze
710             summary of june 18;            summary of june 18;nd
711            summary september 3;           summary september 3;nd
712              summary: sept. 18;             summary: sept. 18;nd
713                 light snowfall;                light snowfall;heavy snow
714                gusty wind/rain;               gusty wind/rain;high wind
715            gusty wind/hvy rain;           gusty wind/hvy rain;high wind
716                 early snowfall;                early snowfall;heavy snow
717               monthly snowfall;              monthly snowfall;heavy snow
718              seasonal snowfall;             seasonal snowfall;heavy snow
719               monthly rainfall;              monthly rainfall;heavy rain
72          low temperature record;        low temperature record;nd
720               cold temperature;              cold temperature;"""Cold/Wind Chill"","
721                 sml stream fld;                sml stream fld;nd
722             mudslide/landslide;            mudslide/landslide;nd
723                   volcanic ash;                  volcanic ash;volcanic ash
724             volcanic ash plume;            volcanic ash plume;volcanic ash
725             thundersnow shower;            thundersnow shower;heavy snow
726                           none;                          none;nd
727                  cold and snow;                 cold and snow;"""Cold/Wind Chill"","
728                      dam break;                     dam break;nd
729                tstm wind (g45);               tstm wind (g45);thunderstorm wind
73                       avalanche;                     avalanche;avalanche
730            sleet/freezing rain;           sleet/freezing rain;frost/freeze
731                 blow-out tides;                blow-out tides;"""Storm Surge/Tide"","
732              unseasonably cool;             unseasonably cool;nd
733                tstm heavy rain;               tstm heavy rain;heavy rain
734                   tstm wind 40;                  tstm wind 40;thunderstorm wind
735                   tstm wind 45;                  tstm wind 45;thunderstorm wind
736                 tstm wind (41);                tstm wind (41);thunderstorm wind
737                tstm wind (g40);               tstm wind (g40);thunderstorm wind
738                       tstm wnd;                      tstm wnd;tsunami
739                      tstm wind;                     tstm wind;thunderstorm wind
74                   marine mishap;                 marine mishap;nd
740                   frost/freeze;                  frost/freeze;frost/freeze
741                   rain (heavy);                  rain (heavy);heavy rain
742                 cold and frost;                cold and frost;frost/freeze
743          urban/sml stream fldg;         urban/sml stream fldg;nd
744               strong wind gust;              strong wind gust;strong wind
745                    late freeze;                   late freeze;frost/freeze
746                  blow-out tide;                 blow-out tide;"""Storm Surge/Tide"","
747           hypothermia/exposure;          hypothermia/exposure;nd
748            mixed precipitation;           mixed precipitation;nd
749                   coastalstorm;                  coastalstorm;ice storm
75            wind chill/high wind;          wind chill/high wind;high wind
750                 snow and sleet;                snow and sleet;heavy snow
751               blizzard summary;              blizzard summary;blizzard
752         summary of march 24-25;        summary of march 24-25;nd
753            summary of march 27;           summary of march 27;nd
754            summary of march 29;           summary of march 29;nd
755              icestorm/blizzard;             icestorm/blizzard;blizzard
756              flood/strong wind;             flood/strong wind;flood
757        tstm wind and lightning;       tstm wind and lightning;thunderstorm wind
758                 mountain snows;                mountain snows;heavy snow
759          urban/small strm fldg;         urban/small strm fldg;nd
76   high wind/wind chill/blizzard; high wind/wind chill/blizzard;blizzard
760            heavy surf and wind;           heavy surf and wind;high wind
761           mild and dry pattern;          mild and dry pattern;nd
762                        typhoon;                       typhoon;"""Hurricane (Typhoon)"","
763                    high swells;                   high swells;nd
764                   high  swells;                  high  swells;nd
765                      dry spell;                     dry spell;nd
766                      lightning;                     lightning;lightning
767                unseasonal rain;               unseasonal rain;heavy rain
768                     early rain;                    early rain;heavy rain
769                 prolonged rain;                prolonged rain;heavy rain
77            high wind/wind chill;          high wind/wind chill;high wind
770                    wintery mix;                   wintery mix;winter weather
771       coastal flooding/erosion;      coastal flooding/erosion;coastal flood
772                      hot spell;                     hot spell;nd
773               unseasonably hot;              unseasonably hot;nd
774                tstm wind (g45);               tstm wind (g45);thunderstorm wind
775               tstm wind  (g45);              tstm wind  (g45);thunderstorm wind
776                high wind (g40);               high wind (g40);high wind
777                tstm wind (g35);               tstm wind (g35);thunderstorm wind
778                    dry weather;                   dry weather;nd
779                abnormal warmth;               abnormal warmth;nd
78            high wind/heavy snow;          high wind/heavy snow;high wind
780                 unusual warmth;                unusual warmth;nd
781                  wake low wind;                 wake low wind;high wind
782              cold temperatures;             cold temperatures;"""Cold/Wind Chill"","
783   cold wind chill temperatures;  cold wind chill temperatures;"""Cold/Wind Chill"","
784                  moderate snow;                 moderate snow;heavy snow
785              moderate snowfall;             moderate snowfall;heavy snow
786          urban/street flooding;         urban/street flooding;flood
787                coastal erosion;               coastal erosion;nd
788          unusual/record warmth;         unusual/record warmth;nd
789              bitter wind chill;             bitter wind chill;high wind
79         high temperature record;       high temperature record;nd
790 bitter wind chill temperatures;bitter wind chill temperatures;high wind
791                         seiche;                        seiche;seiche
792                           tstm;                          tstm;thunderstorm wind
793      coastal  flooding/erosion;     coastal  flooding/erosion;coastal flood
794         unseasonably warm year;        unseasonably warm year;nd
795          hyperthermia/exposure;         hyperthermia/exposure;nd
796                     rock slide;                    rock slide;nd
797                    ice pellets;                   ice pellets;ice storm
798               patchy dense fog;              patchy dense fog;fog
799                    record cool;                   record cool;nd
8                     winter storm;        winter storm;ice storm
80                    flood watch/;                  flood watch/;flood
800                    record warm;                   record warm;n
801                    hot weather;                   hot weather;nd
802            tropical depression;           tropical depression;tropical depression
803              volcanic eruption;             volcanic eruption;volcanic ash
804                     cool spell;                    cool spell;nd
805                  wind advisory;                 wind advisory;high wind
806                gusty wind/hail;               gusty wind/hail;high wind
807               red flag fire wx;              red flag fire wx;nd
808                    first frost;                   first frost;frost/freeze
809                excessively dry;               excessively dry;nd
81        record high temperatures;      record high temperatures;nd
810     light snow/freezing precip;    light snow/freezing precip;frost/freeze
811                            vog;                           vog;nd
812          monthly precipitation;         monthly precipitation;nd
813            monthly temperature;           monthly temperature;nd
814                 record dryness;                record dryness;nd
815 extreme windchill temperatures;extreme windchill temperatures;high wind
816                 dry conditions;                dry conditions;nd
817              remnants of floyd;             remnants of floyd;nd
818                      landspout;                     landspout;nd
819                   driest month;                  driest month;nd
82                  high wind/seas;                high wind/seas;high wind
820                   record  cold;                  record  cold;"""Cold/Wind Chill"","
821               late season hail;              late season hail;hail
822                 excessive snow;                excessive snow;heavy snow
823                        dryness;                       dryness;nd
824              flood/flash/flood;             flood/flash/flood;flash flood
825                  wind and wave;                 wind and wave;high wind
826            light freezing rain;           light freezing rain;frost/freeze
827                           wind;                          wind;high wind
828           record precipitation;          record precipitation;nd
829                      ice roads;                     ice roads;ice storm
83           high winds/heavy rain;         high winds/heavy rain;high wind
830                     rough seas;                    rough seas;nd
831          unseasonably warm/wet;         unseasonably warm/wet;nd
832        unseasonably cool & wet;       unseasonably cool & wet;nd
833                 unusually warm;                unusually warm;nd
834                  tstm wind g45;                 tstm wind g45;thunderstorm wind
835                non severe hail;               non severe hail;hail
836         non-severe wind damage;        non-severe wind damage;high wind
837                 unusually cold;                unusually cold;"""Cold/Wind Chill"","
838                   warm weather;                  warm weather;nd
839        thunderstorm wind (g40);       thunderstorm wind (g40);high wind
84                       high seas;                     high seas;nd
840        unseasonably warm & wet;       unseasonably warm & wet;nd
841                    flash flood;                   flash flood;flash flood
842             locally heavy rain;            locally heavy rain;heavy rain
843                     wind gusts;                    wind gusts;high wind
844            unseasonal low temp;           unseasonal low temp;nd
845             high surf advisory;            high surf advisory;high surf
846               late season snow;              late season snow;heavy snow
847                gusty lake wind;               gusty lake wind;high wind
848                 abnormally dry;                abnormally dry;nd
849             winter weather mix;            winter weather mix;winter weather
85               severe turbulence;             severe turbulence;nd
850              red flag criteria;             red flag criteria;nd
851                            wnd;                           wnd;nd
852          cstl flooding/erosion;         cstl flooding/erosion;coastal flood
853                          smoke;                         smoke;dense smoke
854                     waterspout;                    waterspout;waterspout
855                  snow advisory;                 snow advisory;heavy snow
856                  extremely wet;                 extremely wet;nd
857            unusually late snow;           unusually late snow;heavy snow
858                       very dry;                      very dry;nd
859            record low rainfall;           record low rainfall;heavy rain
86                 record rainfall;               record rainfall;heavy rain
860                     rogue wave;                    rogue wave;nd
861                 prolong warmth;                prolong warmth;nd
862           accumulated snowfall;          accumulated snowfall;heavy snow
863               falling snow/ice;              falling snow/ice;heavy snow
864                     dust devel;                    dust devel;nd
865                  non-tstm wind;                 non-tstm wind;high wind
866                  non tstm wind;                 non tstm wind;high wind
867       gusty thunderstorm winds;      gusty thunderstorm winds;high wind
868                     patchy ice;                    patchy ice;ice storm
869             heavy rain effects;            heavy rain effects;heavy rain
87                 record snowfall;               record snowfall;heavy snow
870         excessive heat/drought;        excessive heat/drought;drought
871                northern lights;               northern lights;nd
872               marine tstm wind;              marine tstm wind;thunderstorm wind
873             high surf advisory;            high surf advisory;high surf
874                 hazardous surf;                hazardous surf;high surf
875             winter weather/mix;            winter weather/mix;winter weather
876         astronomical high tide;        astronomical high tide;astronomical tide
877                      very warm;                     very warm;nd
878                 abnormally wet;                abnormally wet;nd
879                 tornado debris;                tornado debris;tornado
88                   record warmth;                 record warmth;nd
880        extreme cold/wind chill;       extreme cold/wind chill;"""Cold/Wind Chill"","
881                    ice on road;                   ice on road;ice storm
882                       drowning;                      drowning;nd
883        gusty thunderstorm wind;       gusty thunderstorm wind;high wind
884                    marine hail;                   marine hail;marine hail
885           high surf advisories;          high surf advisories;high surf
886              hurricane/typhoon;             hurricane/typhoon;"""Hurricane (Typhoon)"","
887           heavy surf/high surf;          heavy surf/high surf;high surf
888                    sleet storm;                   sleet storm;ice storm
889               storm surge/tide;              storm surge/tide;ice storm
89                 heavy snow/wind;               heavy snow/wind;high wind
890                cold/wind chill;               cold/wind chill;"""Cold/Wind Chill"","
891               marine high wind;              marine high wind;marine high wind
892                        tsunami;                       tsunami;tsunami
893                    dense smoke;                   dense smoke;dense smoke
894                lakeshore flood;               lakeshore flood;lakeshore flood
895       marine thunderstorm wind;      marine thunderstorm wind;high wind
896             marine strong wind;            marine strong wind;marine strong wind
897          astronomical low tide;         astronomical low tide;astronomical tide
898               volcanic ashfall;              volcanic ashfall;volcanic ash
9        hurricane opal/high winds;     hurricane opal/high winds;high wind
90                    extreme heat;                  extreme heat;heat
91                     wind damage;                   wind damage;high wind
92                      dust storm;                    dust storm;dust storm
93                   apache county;                 apache county;nd
94                           sleet;                         sleet;sleet
95                      hail storm;                    hail storm;hail
96                   funnel clouds;                 funnel clouds;funnel cloud
97                    flash floods;                  flash floods;flash flood
98                      dust devil;                    dust devil;dust devil
99                  excessive heat;                excessive heat;"""Excessive Heat"","
